id,title,story_ref,story_type,need,type,severity,inclusion_risk,evidence,notes,candidate_fix
1,Need clear overview of today's deadlines,stories.md#S1,Job story,Deadline reassurance,Usability,Medium,"Cognitive,Stress","Participant C Q1,Q3; Participant A Q3","Students fear they might miss a deadline when they are away from the desk; current task list does not highlight what is due today or soon.",false
2,No clear confirmation after add/edit/delete,stories.md#S6,Job story,Status feedback,Accessibility,High,"Cognitive,ScreenReader,LowDigitalLiteracy","Participant A earlier notes; Participant B Q2; Lab1 no-JS PRG path","HTMX path already updates a live region, but the no-JS POST-Redirect-GET path does not show an explicit success or error message; users may refresh the page to check.",true
3,Keyboard focus and controls may skip important buttons,stories.md#S3,Job story,Full keyboard access,Accessibility,High,"Keyboard,Motor","Participant A Q4; Participant B Q4; Participant C Q4","Need to verify that all controls in the task manager (add, delete, future edit) are reachable in a sensible order using Tab/Shift+Tab/Enter/Space only.",true
4,Text and spacing are hard to read when eyes are tired,stories.md#S4,Job story,Visual readability,Accessibility,Medium,"LowVision,ColourBlind,EyeStrain","Participant B Q5; Participant A Q5; Participant C Q5","Risk that default styles (line-height, contrast) may not be sufficient for long lists of tasks under poor lighting or tired eyes; needs check against WCAG 1.4.3.",false
5,Tool does not help prioritise or safely drop low-impact tasks,stories.md#S5,Job story,Stress management,Usability,Low,"Cognitive,Stress","Participant A Q6; Participant B Q6; Participant C Q6","Nice-to-have: a future feature that shows which tasks are critical vs. low-impact to reduce anxiety; out of scope for Week 6/7 implementation.",false
6,Tasks scattered across many channels,stories.md#S2,Job story,Task aggregation,Usability,Medium,"Cognitive,Memory","Participant C Q2; Participant B Q2","Core pain point for students but requires integration with other systems (Minerva, email etc.); note it as a design driver rather than something we implement now.",false
7,Error messages for invalid input may not persist in no-JS mode,stories.md#S6,Pain point,Error recovery,Accessibility,High,"Cognitive,ScreenReader","Lab1 no-JS testing; WCAG 3.3.1","If the title is blank, the HTMX path can return an inline error with aria-live, but the no-JS redirect may lose the error context; we should plan an error summary on the GET /tasks page.",false
8,Live region behaviour and skip link need SR verification,internal-audit,WCAG check,Assistive tech compatibility,Accessibility,Medium,"ScreenReader","WCAG 2.4.1, 4.1.3; Lab1 implementation","We added a skip link and a status live region, but so far have mainly tested with keyboard and DevTools; need explicit NVDA/VoiceOver checks in later weeks.",false
9,Priority field has no visible label,wk07/lab-w7/audit-template.md#A1,WCAG violation,Form labelling,Accessibility,Medium,"Screen reader,Cognitive","Optional `priority` input uses placeholder only, no `<label>`.","Add visible `<label for=\"priority\">Priority (optional)</label>` and give the input `id=\"priority\"`.",true
10,Task list icon image has no alt,wk07/lab-w7/audit-template.md#A2,WCAG violation,Non-text content,Accessibility,Low,"Screen reader","`<img src=\"/static/img/icon.png\">` has no `alt` attribute.","If decorative, set `alt=\"\"`; if meaningful, add a short descriptive `alt` text.",false
11,Focus outline is too subtle,wk07/lab-w7/audit-template.md#A3,Heuristic issue,Focus visibility,Usability,Medium,"Keyboard,Low vision,Screen reader","Manual keyboard + 200% zoom test: outline technically visible but easy to miss on busy backgrounds.","Add stronger `:focus` styles in CSS (e.g. 2â€“3px solid outline with a high-contrast colour).",false
